AbbreviatedCaseNumber  # Abbreviated Case Number
absoluteAnchor  # Absolute Anchor Shape Size
absSizeAnchor  # Absolute Anchor Shape Size
abstractNum  # Abstract Numbering Definition
acc  # Accent
accent1  # Accent 1
accent2  # Accent 2
accent3  # Accent 3
accent4  # Accent 4
accent5  # Accent 5
accent6  # Accent 6
accPr  # Accent Properties
active  # Record Is Included in Mail Merge
activeRecord  # Record Currently Displayed In Merged Document
activeWritingStyle  # Grammar Checking Settings
additionalCharacteristics  # Set of Additional Characteristics
addressFieldName  # Column Containing E-mail Address
adjustLineHeightInTable  # Add Document Grid Line Pitch To Lines in Table Cells
ahLst  # List of Shape Adjust Handles
ahPolar  # Polar Adjust Handle
ahXY  # XY Adjust Handle
AlbumTitle  # Album Title
alg  # Algorithm
aliases  # Alternate Style Names
alias  # Friendly Name
alignment  # Alignment
align  # Relative Horizontal Alignment
align  # Relative Vertical Alignment
allowPNG  # Allow PNG as Graphic Format
aln  # Alignment
alnScr  # Align Scripts
alpha  # Alpha
alphaBiLevel  # Alpha Bi-Level Effect
alphaMod  # Alpha Modulate Effect
alphaMod  # Alpha Modulation
alphaModFix  # Alpha Modulate Fixed Effect
alphaOutset  # Alpha Inset/Outset Effect
alphaRepl  # Alpha Replace Effect
altChunk  # Anchor for Imported External Content
altChunkPr  # External Content Import Properties
altName  # Alternate Names for Font
anchor  # Anchor for Floating DrawingML Object
anchor  # Anchor Point
anchor  # Object Cell Anchor
anim  # Animate
animClr  # Animate Color Behavior
animEffect  # Animate Effect
animLvl  # Level Animation
animMotion  # Animate Motion
animOne  # One by One Animation String
animRot  # Animate Rotation
animScale  # Animate Scale
annotationRef  # Comment Information Block
Application  # Application Name
applyToEnd  # Apply to End
applyToFront  # Apply To Front
applyToSides  # Apply To Sides
AppVersion  # Application Version
arcTo  # Draw Arc To
areaChart  # Area Charts
area3DChart  # 3D Area Charts
argPr  # Argument Properties
argSz  # Argument Size
Artist  # Artist
attachedSchema  # Attached Custom XML Schema
attachedTemplate  # Attached Document Template
attrName  # Attribute Name
attrNameLst  # Attribute Name List
attr  # Smart Tag Property
audio  # Audio
audioFile  # Audio from File
author  # Author
Author  # Author
Author  # Contributors List
authors  # Authors
autoCaptions  # Automatic Captioning Settings
autoCaption  # Single Automatic Captioning Setting
autoFilter  # AutoFilter Settings
autoHyphenation  # Automatically Hyphenate Document Contents When Displayed
autoSortScope  # AutoSort Scope
autoSpaceDE  # Automatically Adjust Spacing of Latin and East Asian Text
autoUpdate  # Update Automatically
avLst  # List of Shape Adjust Values
axId  # Axis ID
axPos  # Axis Position
backdrop  # Backdrop Plane
backWall  # Back Wall
backward  # Backward
balanceSingleByteDoubleByteWidth  # Balance Single Byte and Double Byte Characters
bandFmt  # Band Format
bandFmts  # Band Formats
band1H  # Band 1 Horizontal
band1V  # Band 1 Vertical
band2H  # Band 2 Horizontal
band2V  # Band 2 Vertical
bar  # Bar
barDir  # Bar Direction
barChart  # Bar Charts
bar  # Paragraph Border Between Facing Pages
barPr  # Bar Properties
bar3DChart  # 3D Bar Charts
basedOn  # Parent Style ID
baseJc  # Matrix Base Justification
baseTimeUnit  # Base Time Unit
b  # Bold
b  # Bold
b  # Boolean
bCs  # Complex Script Bold
bdo  # Bidirectional Override
bdr  # Text Border
begChr  # Delimiter Beginning Character
behavior  # Entry Insertion Behavior
behaviors  # Entry Insertion Behaviors
bevelB  # Bottom Bevel
bevel  # Bevel
bevel  # Line Join Bevel
bevelT  # Top Bevel
bg  # Background Formatting
bg  # Background Formatting
bgClr  # Background color
bgColor  # Background Color
bgFillStyleLst  # Background Fill Style List
bgPr  # Background Properties
bgRef  # Background Style Reference
bg  # Slide Background
bibliography  # Bibliography Structured Document Tag
bidi  # Right to Left Section Layout
bidiVisual  # Visually Right to Left Table
bk  # Future Metadata Block
bk  # Metadata Block
bldAsOne  # Build As One
bldDgm  # Build Diagram
bldDgm  # Build Diagram
bldGraphic  # Build Graphics
bldChart  # Build Chart
bldLst  # Build List
bldOleChart  # Build Embedded Chart
bldP  # Build Paragraph
blend  # Blend Effect
blipFill  # Picture Fill
blipFill  # Picture Fill
blipFill  # Picture Fill
blipFill  # Picture Fill
blipFill  # Picture Fill
blob  # Binary Blob
blockQuote  # Data for HTML blockquote Element
blue  # Blue
blueMod  # Blue Modulation
blur  # Blur Effect
bodyPr  # Body Properties
bodyPr  # Body Properties
bodyStyle  # Slide Master Body Text Style
boldItalic  # Bold Italic Embedded Font
BookAuthor  # Book Author
bookFoldPrinting  # Book Fold Printing
bookFoldPrintingSheets  # Number of Pages Per Booklet
bookFoldRevPrinting  # Reverse Book Fold Printing
bookmarkEnd  # Bookmark End
bookmarkStart  # Bookmark Start
BookTitle  # Book Title
bool  # Boolean
boolVal  # Boolean Variant
borderBox  # Border-Box Object
borderBoxPr  # Border-Box Properties
Border Properties  # CT_Border
borders  # Borders
bordersDoNotSurroundFooter  # Page Border Excludes Footer
bordersDoNotSurroundHeader  # Page Border Excludes Header
bottom  # Bottom Border
bottom  # Bottom Border
bottom  # Bottom Border
bottom  # Paragraph Border Below Identical Paragraphs
bottom  # Table Cell Bottom Border
bottom  # Table Cell Bottom Margin Default
box  # Box Object
boxPr  # Box Properties
br  # Break
brkBin  # Break on Binary Operators
brkBinSub  # Break on Binary Subtraction
brk  # Break
brk  # Break
Broadcaster  # Broadcaster
BroadcastTitle  # Broadcast Title
browse  # Browse Slide Show Mode
bstr  # Basic String
buAutoNum  # Auto-Numbered Bullet
bubbleChart  # Bubble Charts
bubble3D  # 3D Bubble
buClr  # Color Specified
buClrTx  # Follow Text
buFont  # Specified
buChar  # Character Bullet
buNone  # No Bullet
buSzPct  # Bullet Size Percentage
buSzTx  # Bullet Size Follows Text
by  # By
by  # By
cacheField  # PivotCache Field
cacheFields  # PivotCache Fields
cacheHierarchies  # PivotCache Hierarchies
cacheHierarchy  # PivotCache Hierarchy
cacheSource  # PivotCache Source Description
calcChain  # Calculation Chain Info
calcOnExit  # Recalculate Fields When Current Field Is Modified
calcPr  # Calculation Properties
calculatedItem  # Calculated Item
calculatedItems  # Calculated Items
calculatedMember  # Calculated Member
calculatedMembers  # Calculated Members
calendar  # Date Picker Calendar Type
camera  # Camera
cantSplit  # Table Row Cannot Break Across Pages
caps  # Display All Characters As Capital Letters
caption  # Single Caption Type Definition
CaseNumber  # Case Number
catAx  # Category Axis Data
cat  # Category
cat  # Category
cat  # Category Axis Data
cat  # Color Transform Category
catLst  # Category List
catLst  # Category List
catLst  # Color Transform Category List
c  # Cell
c  # Cell
cellMerge  # Vertically Merged/Split Table Cells
cellSmartTag  # Cell Smart Tag
cellSmartTagPr  # Smart Tag Properties
cellStyleXfs  # Formatting Records
cellWatch  # Cell Watch Item
cellWatches  # Cell Watch Items
cellXfs  # Cell Formats
cell3D  # Cell 3-D
cfRule  # Conditional Formatting Rule
cfvo  # Conditional Format Value Object
cGp  # Matrix Column Gap
cGpRule  # Matrix Column Gap Rule
circle  # Circle Slide Transition
citation  # Citation Structured Document Tag
City  # City
clickAndTypeStyle  # Paragraph Style Applied to Automatically Generated Paragraphs
clientData  # Client Data
close  # Close Shape Path
clrFrom  # Change Color From
clrChange  # Color Change Effect
clrMap  # Color Map
clrMap  # Color Scheme Map
clrMapOvr  # Color Map Override
clrMapOvr  # Color Scheme Map Override
clrMru  # Color MRU
clrRepl  # Solid Color Replacement
clrScheme  # Color Scheme
clrSchemeMapping  # Theme Color Mappings
clrTo  # Change Color To
clrVal  # Color Value
clsid  # Class ID
cmAuthor  # Comment Author
cm  # Comment
cmd  # Command
cmLst  # Comment List
cnfStyle  # Paragraph Conditional Formatting
cnfStyle  # Table Cell Conditional Formatting
cnfStyle  # Table Row Conditional Formatting
cNvCnPr  # Non-Visual Connector Shape Drawing Properties
cNvContentPartPr  # Non-Visual Content Part Drawing Properties
cNvCxnSpPr  # Non-Visual Connection Shape Drawing Properties
cNvCxnSpPr  # Non-Visual Connector Shape Drawing Properties
cNvCxnSpPr  # Non-Visual Connector Shape Drawing Properties
cNvCxnSpPr  # Non-Visual Connector Shape Drawing Properties
cNvGraphicFramePr  # Common DrawingML Non-Visual Properties
cNvGraphicFramePr  # Non-Visual Graphic Frame Drawing Properties
cNvGraphicFramePr  # Non-Visual Graphic Frame Drawing Properties
cNvGraphicFramePr  # Non-Visual Graphic Frame Drawing Properties
cNvGraphicFramePr  # Non-Visual Graphic Frame Drawing Properties
cNvGrpSpPr  # Non-Visual Group Shape Drawing Properties
cNvGrpSpPr  # Non-Visual Group Shape Drawing Properties
cNvGrpSpPr  # Non-Visual Group Shape Drawing Properties
cNvGrpSpPr  # Non-Visual Group Shape Drawing Properties
cNvGrpSpPr  # Non-Visual Group Shape Drawing Properties
cNvPicPr  # Non-Visual Picture Drawing Properties
cNvPicPr  # Non-Visual Picture Drawing Properties
cNvPicPr  # Non-Visual Picture Drawing Properties
cNvPicPr  # Non-Visual Picture Drawing Properties
cNvPicPr  # Non-Visual Picture Drawing Properties
cNvPr  # Non-Visual Drawing Properties
cNvPr  # Non-Visual Drawing Properties
cNvPr  # Non-Visual Drawing Properties
cNvPr  # Non-Visual Drawing Properties
cNvPr  # Non-Visual Drawing Properties
cNvPr  # Non-Visual Drawing Properties
cNvSpPr  # Connection Non-Visual Shape Properties
cNvSpPr  # Non-Visual Drawing Properties for a Shape
cNvSpPr  # Non-Visual Drawing Properties for a Shape
cNvSpPr  # Non-Visual Shape Drawing Properties
cNvSpPr  # Non-Visual Shape Drawing Properties
colBreaks  # Vertical Page Breaks
col  # Column Width & Formatting
colDelim  # Column Delimiter for Data Source
colFields  # Column Fields
colHierarchiesUsage  # Column OLAP Hierarchy References
colHierarchyUsage  # Column OLAP Hierarchies
color  # Data Bar Color
colorFilter  # Color Filter Criteria
color  # Frameset Splitter Color
color  # Run Content Color
colorScale  # Color Scale
colors  # Colors
colorsDefHdr  # Color Transform Definition Header
colorsDefHdrLst  # Color Transform Header List
cols  # Column Definitions
cols  # Column Information
col  # Single Column Definition
column  # Index of Column Being Mapped
comb  # Comb Slide Transition
comboBox  # Combo Box Structured Document Tag
comment  # Comment
comment  # Comment Content
commentPr  # Comment Properties
commentRangeEnd  # Comment Anchor Range End
commentRangeStart  # Comment Anchor Range Start
commentReference  # Comment Content Reference Mark
comments  # Comments
comments  # Comments Collection
Company  # Name of Company
compat  # Compatibility Settings
compatSetting  # Custom Compatibility Setting
Compiler  # Compiler
Composer  # Composer
cond  # Condition
condense  # Condense
conditionalFormat  # Conditional Formatting
conditionalFormats  # Conditional Formats
conditionalFormatting  # Conditional Formatting
Conductor  # Conductor
ConferenceName  # Conference or Proceedings Name
connection  # Connection
connections  # Connections
connectString  # Data Source Connection String
consecutiveHyphenLimit  # Maximum Number of Consecutively Hyphenated Lines
consolidation  # Consolidation Source
constr  # Constraint
constrLst  # Constraint List
cont  # Effect Container
contentPart  # Content Part
contentPart  # Content Part
contentPart  # Content Part
contentPart  # Content Part
contextualSpacing  # Ignore Spacing Above and Below When Using Identical Styles
continuationSeparator  # Continuation Separator Mark
contourClr  # Contour Color
control  # Embedded Control
control  # Embedded Control
control  # Embedded Control
controls  # List of controls
Corporate  # Corporate Author
Counsel  # Counsel
count  # Matrix Column Count
CountryRegion  # Country or Region
cpLocks  # Content Part Locks
cr  # Carriage Return
crossAx  # Crossing Axis ID
crossBetween  # Cross Between
cs  # Complex Script Font
cSld  # Common Slide Data
